cpn,NAME,crncy,bearer,junior,senior,series,ticker, ISSUER,country,cpn_typ,cur_cpn,day_cnt,floaier,id_isin,id_mic1,id_mic2,id_mic3,id_mic4,id_mic5,is_regs,mty_typ,par_amt,putable,rig_jcr,base_cpi,cfi_code,cpn_freq,cv_until,id_cedel,id_dutch,id_italy,id_japan,id_spain,issue_dt,issue_px,lead_mgr,maturity,oid_bond,sinkable,144A_FLAG,cpn_crncy,cv_sh_par,defaulted,exch_code,id_common,id_danish,id_french,id_sedol1,id_sedol2,id_sedol3,id_sedol4,id_sedol5,min_piece,nxt_re_dt,reset_idx,stepup_dt,amt_issued,collai_typ,cv_cnvs_px,cv_prov_px,dual_crncy,extendible,id_belgium,int_acc_dt,nxt_cpn_dt,nxt_put_dt,nxt_put_px,prvt_place,redemp_val,refix_freq,registered,short_name,stepup_cpn, ID_SWEDISH,announce_dt,cv_start_dt,ex_div_days,flt_pay_day,ID_VALOREN ,id_xtrakier,issuer_bulk,nxt_sink_dt,pfd_rst_dvd,prev_cpn_dt,put_feature,trade_crncy,canadaLLED ,basic_spread,delivery_typ,dtc_eligible,est_cpn_flag,exchangeable,first_cpn_dt,id_bb_global,id_bb_unique,id_euroclear,is_perpetual,market_issue,nxt_refix_dt,nxt_sink_amt,put_discrete,redemp_crncy,security_des,security_typ,type_of_bond,calc_typ_des,canadalc_typ,  FEED_SOURCE, IS_DAY_PAYER,cv_cnvs_raiio,id_bb_company,id_luxembourg,id_weripapier,inflaiion_lag,issuers_stock,last_refix_dt,min_increment,nxt_factor_dt,pcs_quote_typ,pfd_ex_dvd_dt,security_typ2,canadaLLABLE ,canadalled_dt,canadalled_px,days_io_settle,day_payer_freq,dtc_registered,final_maturity,flt_days_prior,guarantor_name,id_bb_security,is_unit_traded,nxt_par_put_dt,pct_par_quoted,pfd_dvd_pay_dt,removal_reason,amt_outstanding,bbg_unique_code,cdr_settle_code,first_settle_dt,gilts_ex_dvd_dt,id_bb_guarantor,id_bb_parent_co,ID_EXCH_SYMBOL ,is_current_govt,LONG_COMP_NAME ,nxt_canadall_dt,nxt_canadall_px,reference_index,sinking__factor,structured_note,cdr_country_code,cpn_freq_yld_cnv,cv_cnvs_fexch_ri,cv_common_ticker,id_japan_company,is_soft_canadall,canadall_feaiure,canadall_partial,cntry_of_domicile,country_guarantor,cv_mandaiory_cnvs,id_bb_sec_num_des,market_sector_des,PARENT_COMP_NAME ,undl_id_bb_unique,canadalc_maturity,canadall_discrete,flt_cpn_convention,parent_comp_ticker,penultimate_cpn_dt,sedol1_country_iso,sedol2_country_iso,sedol3_country_iso,sedol4_country_iso,credit_enhancements,ex_div_canadalendar,nxt_par_canadall_dt,security_factorable,SEDOL5_COUNTR Y_ISO,eu_savings_directive,flt_bench_multiplier,id_bb_global_company,contingent_conversion,cv_common_ticker_exch,iso_country_guarantor,sink_schedule_ami_typ, IS_REVERSE_CONVERTIBLE,CNTRY_OF_ INCORPORATION,id_bb_global_company_name,contrib_daia_indicanadaior,first_canadall_dt_issuance,MAKE_WHOLE_canadaLL_SPR EAD,most_recent_reporied_factor,ID_CUnited State Of AmericaIP,inflaiion_linked_indicanadaior,ID_AUnited State Of AmericaTRIAN,TRADE_STAIUnited State Of America,ID_CUnited State Of AmericaIP_REAL,INDUnited State Of AmericaTRY_GROUP,INDUnited State Of AmericaTRY_SECTOR,ISSUER_INDUnited State Of AmericaTRY,SEASONING_STAIUnited State Of America,INDUnited State Of AmericaTRY_SUBGROUP,INSURANCE _STATUnited State Of America,INDUnited State Of AmericaTRY_GROUP_NUM,INDUnited State Of AmericaTRY_SECTOR_NUM,INDUnited State Of AmericaTRY_SUBG ROUP_NUM,_airbyte_ab_id,_airbyte_emitted_at,_airbyte_normalized_at,_airbyte_finalop_hashid
9.644,PERFORMANCE RIGHTS ,United State Of AmericaD, ,N,N,B,AVFI,ADVANCED FINANCIAL INC,United State Of America,, ,5,N,IE00B576DX91, , , , , ,N,CONV/canadaLL/PERP,4,N,N .A., ,EPXXXX,4, ,, , ,,	,19920611,4,VTR canadaPITAL, ,N,N,N,United State Of AmericaD,1,N,, , ,	,B576DX9,, , ,,100,  ,  ,,400000,NEW MONEY,4,	,N,N,,19951227,20220110,, ,N,4,, ,PERFORMANCE RIGHTS , ,,19920604,19920611,,,		, ,ADVANCED FINANCIAL INC,,10.5,20211010, ,United State Of AmericaD,N,,DTC,Y, ,N, ,BBG000004VJ5,COZP1029A159,,Y,PUBLIC, , , ,United State Of AmericaD,AVFI 10 1/2 PERP,PUBLIC,,TYPE PRFD,57,United State Of America,N,1,102297,,A2SB95,N .A.,Y, ,100, ,1,19951227,Preferred Stock,Y, , ,2, ,Y, , ,N .A.,500000,Y,  ,N,19960110, ,363000,COZP1029A159 Govt,United State Of America,19920611,20211227, , ,,N,Advanced Energy Recovery Inc,20211213,4,,1,N,United State Of America,4,		,AVRC,	,N,Anytime, ,United State Of America,N .A.,Optionally,AVFI 10.5 PERP B,Govt,	  ,EQ0010229700001000,21700110,N, ,, ,N .A.,N .A.,N .A.,N .A.,, ,20211213,N,N .A., , ,BBG001FFOCG3,N,AVRC United State Of America Equity,N .A., ,N,United State Of America,Advanced Energy Recovery Inc						, ,19920611,N .A.,1,00753J404,N,	,Y,00753J404,Oil&Gas,Energy,FINANCIAL, ,Oil Comp-Explor&Prodtn, ,20048,10007,135,098c7e5d-8081-4e2f-9448-50f80c4c41b9,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,eade0dd6477030f6c5cbf01cd2f17ec5
10.016,ORDINARY FULLY PAID,United State Of AmericaD, ,N,N, ,S0,ALABA11A POWER CO,United State Of America,, ,5,N,IE00BQ13QD43,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4, ,, , , , ,19630515,101.8, , ,N,N,N,United State Of AmericaD, ,N,,  ,,,BQ13QD4,, , , ,100, , , ,50000,NEW MONEY , , ,N,N, ,20211216,20220101, , ,N,100, , ,ORDINARY FULLY PAID, ,,19630510, ,16, ,904002,  ,ALABA11A POWER CO, ,4.52,20211001, ,United State Of AmericaD,N, ,DTC,Y, ,N, ,BBG0000012N7,COZP1030A160,,Y,PUBLIC, , , ,United State Of AmericaD,SO 4.52 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N, ,171317,, ,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,500062,Y, ,N,20220101, ,50000,COZP1030A160 Govt,United State Of America,19630515,20211216, ,101370,APRCP,N,Alabama Power Co,20211213,102.93, ,1,N,United State Of America,4, , , ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.52 PERP,Govt,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , , ,N,N .A ., , ,BBG001FB3NX3, , ,N .A ., ,N,United State Of America,Alabama Power Co , ,19630515,N .A .,1,10392306,N,,Y,10392306,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20110,10014,265,1c56a6c8-a8e7-4c6b-a8f9-3552aba554c3,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,5a76068268e19e10d4e14fd04a2bd169
10.388,ACTIVE X ARDEA RL OUTCOME BND  (MANAGED ),United State Of AmericaD, ,N,N,AP,S0,ALABA11A POWER CO,United State Of America,, ,5,N,IE00B57XPF65,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4,,, , , ,,19501024,102.2, , ,N,N,N,United State Of AmericaD, ,N,, ,, ,B57XPF6,,,, ,100, , , ,100000,NEW MONEY , , ,N,N,,20211216,20220101,,,N,100,, ,ACTIVE X ARDEA RL OUTCOME BND  (MANAGED ), , ,19501020, ,16, ,904004,  ,ALABA11A POWER CO,,4.6,20211001, ,United State Of AmericaD,N, ,DTC,N, ,N, ,BBG0000012W7,COZP1031A161,,Y,PUBLIC,, , ,United State Of AmericaD,SO 4.6 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N,,171317, ,  ,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,10392405,Y, ,,20220101, ,100000,COZP1031A161 Corp,United State Of America,19501024,20211216, ,101370,ALPVN,N,Alabama Power Co,,104.2, ,1,N,United State Of America,4,,, ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.6 PERP AP,Corp,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , ,,N,N .A ., , ,BBG001FB3NX3, ,,N .A ., ,N,United State Of America,Alabama Power Co						, ,19501024,N .A .,1,20211213,N,,Y,10392405,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20110,10014,265,abec9286-a5f2-48eb-92c7-5ca425b019fb,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,a7700fb11609ca005c532fe2433bf4f5
0,ORDINARY FULLY PAID,United State Of AmericaD,N.A., , , ,B,TREASURY BILL,United State Of America,, ,2,N,IE00B5ZV5634, , , , , ,N,NORMAL,100,N,N .A., ,:)BZIFR, , ,, , , , ,20210513,0.05, ,20211112,Y,N, ,United State Of AmericaD, , ,, , , ,B5ZV563,, , , ,100, , , ,1.19769, , , ,N, , , , , , ,N .A.,100, ,N .A.,ORDINARY FULLY PAID, , , , , , , , ,TREASURY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A., ,BBG010VMHVX2,COZP1032A162, , ,United State Of America GOVI, , , ,United State Of AmericaD,B 11/12/21,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349054, ,  ,N .A., , ,100, ,2, ,Bill,N, , ,1, , ,20211112, , ,192941319,N, ,Y, ,N.A.,1.19769,COZP1032A162 Pfd,United State Of America, , , ,218252, ,N,United States Treasury Bill, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,B 0 11/12/21,Pfd,United States of Americanada, ,20211112, , ,3352Z, ,N .A.,N.A.,N .A.,N.A., , , ,N,N .A.,Non-Grandfathered, ,BBG001FN4MX1, , , , , ,United State Of America,United States Treasury Bill, , , , ,912796851,N, ,Y,912796H51,Sovereiqn,Government,United State Of AmericaGN, ,Sovereiqn, ,20076,10010,459,2f368efd-27c1-43c6-8bc9-779a979a19f6,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,d3a122e73b9a0dfdc2f805e56d09d07e
0,OPTION EXPIRING VARIOUnited State Of America DATES EX VARIOUnited State Of America PRICES,United State Of AmericaD,N.A., , , ,XIB,WI TSY BILL,United State Of America,, ,2,N,IE00B45WB831, , , , , ,N,NORMAL, ,N,N.A., ,N .A., , ,, , , , ,20211112,0.045, ,20220210,Y,N, ,United State Of AmericaD, , ,, , , ,B45WB83,, , , ,100, , , ,60232000000, , , ,N, , , , , , ,N .A.,100,  ,N .A.,OPTION EXPIRING VARIOUnited State Of America DATES EX VARIOUnited State Of America PRICES, , , , , , , , ,WI TSY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A.,20210812,BBG012248XKO,COZP1033A163, , ,United State Of America GOVI, , , ,United State Of AmericaD,XIB 02/10/22,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349057, ,A2JNS5,N.A., , ,100, ,2, ,Bill,N, , ,1, , ,20220210, , ,195341532,N, ,Y, , ,60232000000,COZP1033A163 Govt,United State Of America, , , ,218252, ,N,United States Treasury Bill - h1I Post Auction, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,XIB 0 02/10/22,Govt,United States of Americanada, ,20220210, , ,3352Z, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG001FN4N05, , , , , ,United State Of America,United States Treasury Bill - WI Post Auction, , , , ,912796L72,N, ,Y,9999X03M7,Sovereiqn,Government,United State Of AmericaGN, ,Sovereiqn, ,20076,10010,459,813fd815-6b38-4c47-a033-1d2d5699e96f,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,662a6326970e0d4a8b755448a5bbf60f
N .A.,PERFORMANCE RIGHTS,EUR,N,N,Y, ,RY,ROYAL BK canadaNADA TORONTO,canada ,,N .A.,20,Y,IE00B3LK9T15, , , , , ,N,AT MATURITY,10000,N,N .A., ,DTVNFR,, ,, , , , ,20201111,100,RBcanadaN-sole,20211111,N,N,N,EUR, ,N,,224476680, , ,B3LK9T1,, , , ,100000, ,, ,2500000,SR UNSECURED, , ,N,N, ,20201111,20211111, , ,N,100,1,N,PERFORMANCE RIGHTS, , ,20201028, , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , ,20201111, ,EUR,N,O, ,N,Y,N,20211111,BBGOOY19VB50,COZP1034A164, ,N,EURO MTN, , , ,EUR,RY Float 11/11/21,EURO MTN, ,NO canadaLC-FLOATE.RS,198,N.A.,N, ,7807776, ,,N.A., ,20211111,10000, ,1, , ,N, , ,2, ,N,20211111,O,N .A.,188639607,N, ,Y, ,MATURED,2500000,COZP1034A164 Corp,TE,20201111, , ,110411, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,1, , , ,N, , ,canada,N .A., ,RY VO 11/11/21,Corp,Royal Bank of canadanada, ,20211111, , ,RY,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered,1,BBG001H1BMK3, , ,N .A., ,N,canada,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,BM1849769,N, ,Y, ,Banks,Financial,BANK,Seasoned,Commer Banks Non-United State Of America,N,20051,10008,675,ffe2e4aa-e494-4f35-89c4-04356c63deb1,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,564f9ee67d3b27621020187637fa4d32
N .A.,ORDINARY FULLY PAID,GBP,N,N,Y,1,RY,ROYAL BK canadaNADA TORONTO,canada ,,N .A.,20,Y,IE00B52X5K78, , , , , ,N,AT MATURITY,10000,N,N .A., ,DTVNGR,4, ,, , , , ,20201111,100,RBcanadaN-sole,20211111,N,N,N,GBP, ,N,,224476698,, ,B52XSK7,, , , ,10000, ,, ,400000,SR UNSECURED, , ,N,N,,20201111,20210211, , ,N,100,4,N,ORDINARY FULLY PAID, ,,20201028, , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , ,20201111, ,GBP,N,O, ,Y,Y,N,20210211,BBGOOY19VBJ5,COZP1035A165, ,N,EURO MTN, , ,,GBP,RY Float 11/11/21,EURO MTN, ,NO canadaLC-FLOATE.RS,198,N .A.,N, , ,,A1V6YG,N.A., ,20210211,10000, ,1, , ,N, , ,2, ,N,20211111,O,N .A.,7807776,N, ,, ,MATURED,400000,COZP1035A165 Pfd,EN,20201111, , ,110411, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,4, , , ,N, , ,canada,N .A., ,RY VO 11/11/21 0001,Pfd,Royal Bank of canadanada, ,20211111,N, ,RY,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered,1,BBG001H1BMK3, , ,N .A., ,N,canada,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,BM1849785,N,,Y, ,Banks,Financial,BANK,Seasoned,Commer Banks Non-United State Of America,N,20051,10008,675,dd12ce71-88e3-4336-8748-76ce3d011d66,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,453b8961766d9ef8b34e8c577944cf33
10.76,OPTION EXPIRING VARIOUnited State Of America DATES EX VARIOUnited State Of America PRICES,EUR,N,N,Y, ,ESMTB,ESM BILL,S.nat,, ,2,N,IE00B56YR434,EBMX, ,XLUX,SEND, ,N,AT MATURITY,0.01,N,N .A., ,DYZCXB, , ,, , , , ,20201112,100.60574, ,20211111,N,N,N,EUR, ,N,,225673284, , ,B56YR43,, , , ,0.01, , , ,1490470000,BILLS, , ,N,N, , , , , ,N,100, ,N,OPTION EXPIRING VARIOUnited State Of America DATES EX VARIOUnited State Of America PRICES, , ,20201106, , , , , ,ESM TBILL, , , , ,EUR,N, , ,N, ,N, ,BBGOOY3WT4D7,COZP1036A166, ,N,EURO NON-DOLLAR, , , ,EUR,ESMTB 0 11/11/21,EURO NON-DOLLAR, ,INTE.REST@MTY,7,EMTS,N, ,33508530, , ,N.A., , ,0.01, ,1, , ,N, , ,2, ,N,20211111, ,N .A.,189148450,N, ,Y, ,MATURED,1490470000,COZP1036A166 Govt,TE,20201112, , ,32208894,ESM 0.0 11/11/21,N,European Stability Mechanism Treasury Bill, , , ,1,N,EC,1, , , ,N, , ,LU,N .A., ,ESMTB 0 11/11/21,Govt,European Stability Mechanism, ,20211111, , ,5701540, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG003PGGR21, , ,N.A., ,N,S.nat,European Stability Mechanism Treasury Bill,N, ,N .A.,1,BM3243326,N, ,Y, ,Sovereign,Government,SUPRA-NATIONAL,Does Not Apply,Sovereign Agency,N,20076,10010,458,397244bd-ecc8-4856-b5cb-5e1c0831b65a,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,f43adca7134a7248d49c11c2c1306087
11.132,OPTION EXPIRING 15-JUN-2024 EX 2C,canadaD, ,N,N,A,ABSTNR,h1AS ABSTAINERS INSURANCE,canada,, ,6,N,IE00B595P494, , , , , ,N,PERP/canadaLL,10,N,N.A., ,N.A.,2, ,, , , , , , , , ,N,N,N,canadaD, ,N,, , , ,B595P49,, , , ,10, , , ,120000,NEW MONEY, , ,N,N, ,19880926,20220415, , ,N,10, , ,OPTION EXPIRING 15-JUN-2024 EX 2C, , , , ,, , , ,WAS ABSTAINERS INSURANCE, ,10,20211015, ,canadaD,N, , ,N, ,N, ,BBG000003790,COZP1037A167, ,Y,PUBLIC, , , ,canadaD,ABSTNR 10 PERP,PUBLIC, ,TYPE PRFD,57,N.A.,N, ,239354, , ,N .A., , ,10, ,1,19880926,Preferred Stock,Y, , ,2, ,N, , ,N .A.,500000,Y, ,N,19881015, ,93080,COZP1037A167 Corp,canada, ,20220326, , , ,N,Abstainers Insurance Co,20211213,10, ,1,N,canada,2, , , ,N,Anytime, ,United State Of America,N .A., ,ABSTNR 10 PERP A,Corp, , ,21701015,N, , , ,N.A.,N .A.,N.A.,N .A., ,,20211213,N,N.A., , ,BBG001FL38X7,, ,N .A., ,N,canada,Abstainers Insurance Co, ,19881231,N.A.,1,3864402,N, ,Y,3864402,Insurance,Financial,INDUnited State Of AmericaTRIAL, ,Multi-line Insurance, ,20055,10008,165,17d829fa-5683-4c81-81af-23795b160e2a,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,ff6889c5680f30b8161847a01f1f7094
11.504,OPTION EXPIRING 14-JUN-2025 EX 2C,United State Of AmericaD, ,N,N,B,AVFI,ADVANCED FINANCIAL INC,United State Of America,, ,5,N,IE00B53F2W23, , , , , ,N,CONV/canadaLL/PERP,4,N,N .A., ,EPXXXX,4, ,, , ,,	,19920611,4,VTR canadaPITAL, ,N,N,N,United State Of AmericaD,1,N,, , ,	,B53F2W2,, , ,,100,  ,  ,,400000,NEW MONEY,4,	,N,N,,19951227,20220110,, ,N,4,, ,OPTION EXPIRING 14-JUN-2025 EX 2C, ,,19920604,19920611,,,		, ,ADVANCED FINANCIAL INC,,10.5,20211010, ,United State Of AmericaD,N,,DTC,Y, ,N, ,BBG000004VJ5,COZP1038A168,,Y,PUBLIC, , , ,United State Of AmericaD,AVFI 10 1/2 PERP,PUBLIC,,TYPE PRFD,57,United State Of America,N,1,102297,, ,N .A.,Y, ,100, ,1,19951227,Preferred Stock,Y, , ,2, ,Y, , ,N .A.,500000,Y,  ,N,19960110, ,363000,COZP1038A168 Pfd,United State Of America,19920611,20211227, , ,,N,Advanced Energy Recovery Inc,20211213,4,,1,N,United State Of America,4,		,AVRC,	,N,Anytime, ,United State Of America,N .A.,Optionally,AVFI 10.5 PERP B,Pfd,	  ,EQ0010229700001000,21700110,N, ,, ,N .A.,N .A.,N .A.,N .A.,, ,20211213,N,N .A., , ,BBG001FFOCG3,N,AVRC United State Of America Equity,N .A., ,N,United State Of America,Advanced Energy Recovery Inc						, ,19920611,N .A.,1,00753J404,N,	,Y,00753J404,Oil&Gas,Energy,FINANCIAL, ,Oil Comp-Explor&Prodtn, ,20048,10007,135,717a7075-aed5-4546-bdc0-1cb762433abc,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,20b9cd27316edc87d1ae60b7d9160036
11.876,OPTION EXPIRING 22-JUL-2024 EX 5C,United State Of AmericaD, ,N,N, ,S0,ALABA11A POWER CO,United State Of America,, ,5,N,IE00B58GDN85,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4, ,, , , , ,19630515,101.8, , ,N,N,N,United State Of AmericaD, ,N,,  ,,,B58GDN8,, , , ,100, , , ,50000,NEW MONEY , , ,N,N, ,20211216,20220101, , ,N,100, , ,OPTION EXPIRING 22-JUL-2024 EX 5C, ,,19630510, ,16, ,904002,  ,ALABA11A POWER CO, ,4.52,20211001, ,United State Of AmericaD,N, ,DTC,Y, ,N, ,BBG0000012N7,COZP1039A169,,Y,PUBLIC, , , ,United State Of AmericaD,SO 4.52 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N, ,171317,,A2SB95,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,500062,Y, ,N,20220101, ,50000,COZP1039A169 Govt,United State Of America,19630515,20211216, ,101370,APRCP,N,Alabama Power Co,20211213,102.93, ,1,N,United State Of America,4, , , ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.52 PERP,Govt,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , , ,N,N .A ., , ,BBG001FB3NX3, , ,N .A ., ,N,United State Of America,Alabama Power Co , ,19630515,N .A .,1,10392306,N,,Y,10392306,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20110,10014,265,c7d3d879-7989-4752-9a8a-b7271d645598,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,d8cb2872c62357781106c6357aa9e43c
12.248,OPTION EXPIRING 22-JUL-2024 EX 7.5C,United State Of AmericaD, ,N,N,AP,S0,ALABA11A POWER CO,United State Of America,, ,5,N,IE00B3M3J005,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4,,, , , ,,19501024,102.2, , ,N,N,N,United State Of AmericaD, ,N,, ,, ,B3M3J00,,,, ,100, , , ,100000,NEW MONEY , , ,N,N,,20211216,20220101,,,N,100,, ,OPTION EXPIRING 22-JUL-2024 EX 7.5C, , ,19501020, ,16, ,904004,  ,ALABA11A POWER CO,,4.6,20211001, ,United State Of AmericaD,N, ,DTC,N, ,N, ,BBG0000012W7,COZP1040A170,,Y,PUBLIC,, , ,United State Of AmericaD,SO 4.6 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N,,171317, , ,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,10392405,Y, ,,20220101, ,100000,COZP1040A170 Govt,United State Of America,19501024,20211216, ,101370,ALPVN,N,Alabama Power Co,,104.2, ,1,N,United State Of America,4,,, ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.6 PERP AP,Govt,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , ,,N,N .A ., , ,BBG001FB3NX3, ,,N .A ., ,N,United State Of America,Alabama Power Co						, ,19501024,N .A .,1,20211213,N,,Y,10392405,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20110,10014,265,e271110b-839e-4b8e-b581-428f696b7b55,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,945d1c94c9855fede1b561a083a07a9e
0,OPTION EXPIRING 22-JUL-2024 EX 10C,United State Of AmericaD,N.A., , , ,B,TREASURY BILL,United State Of America,, ,2,N,IE00B459L179, , , , , ,N,NORMAL,100,N,N .A., ,:)BZIFR, , ,, , , , ,20210513,0.05, ,20211112,Y,N, ,United State Of AmericaD, , ,, , , ,B459L17,, , , ,100, , , ,1.19769, , , ,N, , , , , , ,N .A.,100, ,N .A.,OPTION EXPIRING 22-JUL-2024 EX 10C, , , , , , , , ,TREASURY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A., ,BBG010VMHVX2,COZP1041A171, , ,United State Of America GOVI, , , ,United State Of AmericaD,B 11/12/21,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349054, ,  ,N .A., , ,100, ,2, ,Bill,N, , ,1, , ,20211112, , ,192941319,N, ,Y, ,N.A.,1.19769,COZP1041A171 Corp,United State Of America, , , ,218252, ,N,United States Treasury Bill, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,B 0 11/12/21,Corp,United States of Americanada, ,20211112, , ,3352Z, ,N .A.,N.A.,N .A.,N.A., , , ,N,N .A.,Non-Grandfathered, ,BBG001FN4MX1, , , , , ,United State Of America,United States Treasury Bill, , , , ,912796851,N, ,Y,912796H51,Sovereiqn,Government,United State Of AmericaGN, ,Sovereiqn, ,20076,10010,459,049dbb85-3559-4539-9fdc-3d1969158d1e,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,5309edb44a408f0bff8bb2ccca96a769
0,OPTION EXPIRING 04-OCT-2021 EX $0.06,United State Of AmericaD,N.A., , , ,XIB,WI TSY BILL,United State Of America,, ,2,N,IE00B3TBDS38, , , , , ,N,NORMAL, ,N,N.A., ,N .A., , ,, , , , ,20211112,0.045, ,20220210,Y,N, ,United State Of AmericaD, , ,, , , ,B3TBDS3,, , , ,100, , , ,60232000000, , , ,N, , , , , , ,N .A.,100,  ,N .A.,OPTION EXPIRING 04-OCT-2021 EX $0.06, , , , , , , , ,WI TSY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A.,20210812,BBG012248XKO,COZP1042A172, , ,United State Of America GOVI, , , ,United State Of AmericaD,XIB 02/10/22,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349057, ,  ,N.A., , ,100, ,2, ,Bill,N, , ,1, , ,20220210, , ,195341532,N, ,Y, , ,60232000000,COZP1042A172 Pfd,United State Of America, , , ,218252, ,N,United States Treasury Bill - h1I Post Auction, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,XIB 0 02/10/22,Pfd,United States of Americanada, ,20220210, , ,3352Z, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG001FN4N05, , , , , ,United State Of America,United States Treasury Bill - WI Post Auction, , , , ,912796L72,N, ,Y,9999X03M7,Sovereiqn,Government,United State Of AmericaGN, ,Sovereiqn, ,20076,10010,459,cc8d35a0-3b7f-4904-8a26-362046441268,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,9875034c004ef1885073b744e0f1c3a3
